"Symbol","Name","Sector","Price","Dividend","EPS","Book Value","52 week low","52 week high","Market Cap"
"NDAQ","NASDAQ OMX Group","Financials",65.88,1.30,3.24,34.63,47.95,67.61,10.84
"NOV","National Oilwell Varco Inc.","Energy",32.59,1.55,-3.17,43.37,25.74,46.51,12.29
"NAVI","Navient","Financials",12.69,0.67,2.42,11.54,8.2,18.5,4.19
"NTAP","NetApp","Information Technology",24.54,0.78,0.77,10.25,20.66,34.81,6.87
"NFLX","Netflix Inc.","Information Technology",97.06,- 0,0.29,5.41,79.95,133.27,41.57
"NWL","Newell Rubbermaid Co.","Consumer Discretionary",48.86,0.77,1.25,6.62,33.26,50.9,13.1
"NFX","Newfield Exploration Co","Energy",43.82,- 0,-21.03,7.83,20.84,44.79,8.6
"NEM","Newmont Mining Corp. (Hldg. Co.)","Materials",41.14,0.10,0.17,21.39,15.39,41.46,21.83
"NWSA","News Corp. Class A","Consumer Discretionary",11.67,0.21,-0.51,20.08,10.21,15.92,6.77
"NWS","News Corp. Class B","Consumer Discretionary",12.04,0.20,-0.51,20.08,10.74,15.74,6.98
"NEE","NextEra Energy","Utilities",129.93,3.72,5.98,49.65,93.74,131.98,59.96
"NLSN","Nielsen Holdings","Industrials",52.87,1.25,1.65,12.51,42.76,55.06,19.09
"NKE","Nike","Consumer Discretionary",56.72,0.65,2.16,7.29,47.25,68.19,95.43
"NI","NiSource Inc.","Utilities",26.13,0.71,0.62,12.05,16.04,26.94,8.4
"NBL","Noble Energy Inc","Energy",35.98,0.40,-6.49,23.43,23.77,39.92,15.44
"JWN","Nordstrom","Consumer Discretionary",40.32,1.56,2.78,5.05,35.01,80.23,6.99
"NSC","Norfolk Southern Corp.","Industrials",86.42,2.37,5.39,41.33,64.51,98.75,25.56
"NTRS","Northern Trust Corp.","Financials",64.53,1.46,4.06,37.01,54.38,79.25,14.72
"NOC","Northrop Grumman Corp.","Industrials",221.97,3.60,11.01,31.08,152.31,223.42,40.05
"NRG","NRG Energy","Utilities",15.07,0.48,-19.16,8.65,8.8,23.07,4.75
"NUE","Nucor Corp.","Materials",53.19,1.56,1.12,23.36,33.9,53.32,16.91
"NVDA","Nvidia Corporation","Information Technology",50.85,0.49,1.17,7.86,19.09,51.09,27.15
